Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Ámbito territorial;Disponibilidad de taxímetro;periodo;Total
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;2002;556
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;2001;530
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;2000;548
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;1999;549
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;1998;553
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;1997;567
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;1996;567
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;1995;577
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Total;1994;571
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Con taxímetro;2019;412
TOTAL ESPAÑA;ANDALUCÍA;Almería;Provincia;Con taxímetro;2018;408
