Comunidades y Ciudades Autónomas;Periodo;Total
13 Madrid, Comunidad de;1984;6,26
13 Madrid, Comunidad de;1983;6,35
13 Madrid, Comunidad de;1982;6,02
13 Madrid, Comunidad de;1981;6,41
13 Madrid, Comunidad de;1980;6,05
13 Madrid, Comunidad de;1979;6,08
13 Madrid, Comunidad de;1978;6,3
13 Madrid, Comunidad de;1977;6,37
13 Madrid, Comunidad de;1976;6,54
13 Madrid, Comunidad de;1975;6,44
14 Murcia, Región de;2021;8,36
14 Murcia, Región de;2020;8,21
14 Murcia, Región de;2019;7,74
14 Murcia, Región de;2018;7,66
14 Murcia, Región de;2017;7,82
14 Murcia, Región de;2016;7,4
14 Murcia, Región de;2015;7,67
14 Murcia, Región de;2014;7,11
14 Murcia, Región de;2013;6,92
14 Murcia, Región de;2012;7,31
14 Murcia, Región de;2011;6,98
14 Murcia, Región de;2010;6,85
14 Murcia, Región de;2009;7,13
14 Murcia, Región de;2008;7,26
14 Murcia, Región de;2007;7,17
14 Murcia, Región de;2006;7,1
14 Murcia, Región de;2005;7,45
14 Murcia, Región de;2004;7,43
14 Murcia, Región de;2003;7,7
14 Murcia, Región de;2002;7,71
14 Murcia, Región de;2001;7,67
14 Murcia, Región de;2000;7,83
14 Murcia, Región de;1999;8,34
14 Murcia, Región de;1998;7,89
14 Murcia, Región de;1997;7,81
14 Murcia, Región de;1996;7,66
14 Murcia, Región de;1995;7,6
14 Murcia, Región de;1994;7,76
14 Murcia, Región de;1993;7,85
14 Murcia, Región de;1992;7,76
14 Murcia, Región de;1991;8,07
14 Murcia, Región de;1990;8,22
14 Murcia, Región de;1989;8,13
14 Murcia, Región de;1988;7,64
14 Murcia, Región de;1987;7,45
14 Murcia, Región de;1986;7,71
14 Murcia, Región de;1985;7,95
14 Murcia, Región de;1984;7,74
14 Murcia, Región de;1983;8,04
14 Murcia, Región de;1982;7,71
14 Murcia, Región de;1981;7,99
14 Murcia, Región de;1980;7,97
14 Murcia, Región de;1979;7,98
14 Murcia, Región de;1978;8,39
14 Murcia, Región de;1977;8,11
14 Murcia, Región de;1976;8,26
14 Murcia, Región de;1975;8,54
15 Navarra, Comunidad Foral de;2021;8,79
15 Navarra, Comunidad Foral de;2020;10,14
15 Navarra, Comunidad Foral de;2019;8,53
15 Navarra, Comunidad Foral de;2018;9,01
15 Navarra, Comunidad Foral de;2017;9,12
15 Navarra, Comunidad Foral de;2016;8,97
15 Navarra, Comunidad Foral de;2015;8,93
15 Navarra, Comunidad Foral de;2014;8,67
15 Navarra, Comunidad Foral de;2013;8,36
15 Navarra, Comunidad Foral de;2012;8,41
15 Navarra, Comunidad Foral de;2011;8,08
15 Navarra, Comunidad Foral de;2010;7,84
15 Navarra, Comunidad Foral de;2009;8,17
15 Navarra, Comunidad Foral de;2008;8,51
15 Navarra, Comunidad Foral de;2007;8,47
15 Navarra, Comunidad Foral de;2006;8,3
15 Navarra, Comunidad Foral de;2005;8,84
15 Navarra, Comunidad Foral de;2004;8,63
15 Navarra, Comunidad Foral de;2003;9,17
15 Navarra, Comunidad Foral de;2002;8,87
15 Navarra, Comunidad Foral de;2001;8,68
15 Navarra, Comunidad Foral de;2000;8,97
15 Navarra, Comunidad Foral de;1999;9,16
15 Navarra, Comunidad Foral de;1998;8,87
15 Navarra, Comunidad Foral de;1997;8,65
15 Navarra, Comunidad Foral de;1996;8,74
15 Navarra, Comunidad Foral de;1995;8,61
15 Navarra, Comunidad Foral de;1994;8,44
